date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2023-07-01,Kuwait,Bangladesh,1,0,South Asian Championship,India,1386,902,108,199
2023-07-01,India,Lebanon,0,0,South Asian Championship,India,1270,1308,144,131
2023-07-01,Guadeloupe,Cuba,4,1,CONCACAF Championship,the United States,1319,1274,129,143
2023-07-01,Canada,Guatemala,0,0,CONCACAF Championship,the United States,1704,1504,41,79
2023-07-02,United States,Trinidad and Tobago,6,0,CONCACAF Championship,the United States,1833,1371,21,114
2023-07-02,Qatar,Mexico,1,0,CONCACAF Championship,the United States,1557,1776,70,28
2023-07-02,Jamaica,Saint Kitts and Nevis,5,0,CONCACAF Championship,the United States,1585,1170,63,164
2023-07-02,Honduras,Haiti,2,1,CONCACAF Championship,the United States,1492,1522,85,75
2023-07-04,India,Kuwait,1,1,South Asian Championship,India,1271,1385,143,109
2023-07-04,Guatemala,Guadeloupe,3,2,CONCACAF Championship,the United States,1517,1306,77,133
2023-07-04,El Salvador,Panama,2,2,CONCACAF Championship,the United States,1474,1660,90,48
2023-07-04,Costa Rica,Martinique,6,4,CONCACAF Championship,the United States,1663,1420,46,100
2023-07-04,Canada,Cuba,4,2,CONCACAF Championship,the United States,1710,1268,40,144
2023-07-05,South Africa,Namibia,1,1,COSAFA Cup,South Africa,1557,1399,69,108
2023-07-05,Botswana,Eswatini,1,0,COSAFA Cup,South Africa,1357,1248,117,150
2023-07-06,Malawi,Zambia,1,0,COSAFA Cup,South Africa,1292,1474,136,89
2023-07-06,Comoros,Seychelles,3,0,COSAFA Cup,South Africa,1262,880,148,202
2023-07-07,Lesotho,Mauritius,2,0,COSAFA Cup,South Africa,1209,944,158,193
2023-07-07,Angola,Mozambique,1,1,COSAFA Cup,South Africa,1417,1347,101,118
2023-07-08,South Africa,Botswana,2,1,COSAFA Cup,South Africa,1563,1351,68,117
2023-07-08,Eswatini,Namibia,2,1,COSAFA Cup,South Africa,1276,1371,143,113
2023-07-08,Panama,Qatar,4,0,CONCACAF Championship,the United States,1693,1524,45,74
2023-07-08,Mexico,Costa Rica,2,0,CONCACAF Championship,the United States,1802,1637,25,51
2023-07-09,Zambia,Comoros,2,1,COSAFA Cup,South Africa,1483,1253,86,150
2023-07-09,Malawi,Seychelles,2,0,COSAFA Cup,South Africa,1297,875,136,203
2023-07-09,Jamaica,Guatemala,1,0,CONCACAF Championship,the United States,1605,1497,62,81
2023-07-10,Mauritius,Angola,1,0,COSAFA Cup,South Africa,982,1379,188,109
